Zone,Time,Station,Temp
MTZ138,2021-07-29 21:59:00,LBHM8,33.889
MTZ138,2021-07-29 21:53:00,KSHR,26.7
MTZ138,2021-07-29 21:48:00,BRTM8,23.333
MTZ138,2021-07-29 21:29:00,HBOM8,31.66702
MTZ138,2021-07-29 21:18:00,PMRM8,27.222
MTZ138,2021-07-29 21:18:00,WWMM8,25.556
MTZ138,2021-07-29 20:59:00,LBHM8,32.222
MTZ138,2021-07-29 20:53:00,KSHR,27.8
MTZ138,2021-07-29 20:48:00,BRTM8,22.778
MTZ138,2021-07-29 20:29:00,HBOM8,31.66702
MTZ138,2021-07-29 20:18:00,PMRM8,26.111
MTZ138,2021-07-29 20:18:00,WWMM8,24.444
MTZ138,2021-07-29 19:59:00,LBHM8,28.333
MTZ138,2021-07-29 19:53:00,KSHR,28.9
MTZ138,2021-07-29 19:48:00,BRTM8,21.66702
MTZ138,2021-07-29 19:29:00,HBOM8,30
MTZ138,2021-07-29 19:18:00,PMRM8,25.556
MTZ138,2021-07-29 19:18:00,WWMM8,23.889
MTZ138,2021-07-29 18:59:00,LBHM8,27.778
MTZ138,2021-07-29 18:53:00,KSHR,25
MTZ138,2021-07-29 18:48:00,BRTM8,19.444
MTZ138,2021-07-29 18:29:00,HBOM8,27.778
MTZ138,2021-07-29 18:18:00,PMRM8,25
MTZ138,2021-07-29 18:18:00,WWMM8,20.556
MTZ138,2021-07-29 17:59:00,LBHM8,26.111
MTZ138,2021-07-29 17:53:00,KSHR,21.1
MTZ138,2021-07-29 17:48:00,BRTM8,16.111
MTZ138,2021-07-29 17:29:00,HBOM8,24.444
MTZ138,2021-07-29 17:18:00,PMRM8,21.66702
MTZ138,2021-07-29 17:18:00,WWMM8,20
MTZ138,2021-07-29 16:59:00,LBHM8,25.556
MTZ138,2021-07-29 16:53:00,KSHR,22.2
MTZ138,2021-07-29 16:48:00,BRTM8,14.444
MTZ138,2021-07-29 16:29:00,HBOM8,23.333
MTZ138,2021-07-29 16:18:00,PMRM8,20
MTZ138,2021-07-29 16:18:00,WWMM8,18.333
MTZ138,2021-07-29 15:59:00,LBHM8,23.333
MTZ138,2021-07-29 15:53:00,KSHR,21.1
MTZ138,2021-07-29 15:48:00,BRTM8,15
MTZ138,2021-07-29 15:29:00,HBOM8,23.889
MTZ138,2021-07-29 15:18:00,PMRM8,20
MTZ138,2021-07-29 15:18:00,WWMM8,18.889
MTZ138,2021-07-29 14:59:00,LBHM8,22.778
MTZ138,2021-07-29 14:53:00,KSHR,22.2
MTZ138,2021-07-29 14:48:00,BRTM8,14.444
MTZ138,2021-07-29 14:29:00,HBOM8,22.222
MTZ138,2021-07-29 14:18:00,PMRM8,18.333
MTZ138,2021-07-29 14:18:00,WWMM8,17.222
MTZ138,2021-07-29 13:59:00,LBHM8,21.111
MTZ138,2021-07-29 13:53:00,KSHR,20
MTZ138,2021-07-29 13:48:00,BRTM8,13.889
MTZ138,2021-07-29 13:29:00,HBOM8,21.66702
MTZ138,2021-07-29 13:18:00,PMRM8,18.889
MTZ138,2021-07-29 13:18:00,WWMM8,16.111
MTZ138,2021-07-29 12:59:00,LBHM8,23.889
MTZ138,2021-07-29 12:53:00,KSHR,18.9
MTZ138,2021-07-29 12:48:00,BRTM8,12.778
MTZ138,2021-07-29 12:29:00,HBOM8,22.778
MTZ138,2021-07-29 12:18:00,PMRM8,17.778
MTZ138,2021-07-29 12:18:00,WWMM8,17.778
MTZ138,2021-07-29 11:59:00,LBHM8,24.444
MTZ138,2021-07-29 11:53:00,KSHR,18.3
MTZ138,2021-07-29 11:48:00,BRTM8,12.778
MTZ138,2021-07-29 11:29:00,HBOM8,25
MTZ138,2021-07-29 11:18:00,PMRM8,18.333
MTZ138,2021-07-29 11:18:00,WWMM8,19.444
MTZ138,2021-07-29 10:59:00,LBHM8,25
MTZ138,2021-07-29 10:53:00,KSHR,Not given
MTZ138,2021-07-29 10:48:00,BRTM8,12.778
MTZ138,2021-07-29 10:29:00,HBOM8,25
MTZ138,2021-07-29 10:18:00,PMRM8,19.444
MTZ138,2021-07-29 10:18:00,WWMM8,20.556
MTZ138,2021-07-29 09:59:00,LBHM8,25
MTZ138,2021-07-29 09:53:00,KSHR,18.3
MTZ138,2021-07-29 09:48:00,BRTM8,13.333
MTZ138,2021-07-29 09:29:00,HBOM8,25
MTZ138,2021-07-29 09:18:00,PMRM8,20
MTZ138,2021-07-29 09:18:00,WWMM8,20.556
MTZ138,2021-07-29 08:59:00,LBHM8,24.444
MTZ138,2021-07-29 08:53:00,KSHR,21.7
MTZ138,2021-07-29 08:48:00,BRTM8,15.556
MTZ138,2021-07-29 08:35:00,KSHR,21.7
MTZ138,2021-07-29 08:29:00,HBOM8,23.889
MTZ138,2021-07-29 08:18:00,PMRM8,20.556
MTZ138,2021-07-29 08:18:00,WWMM8,21.111
MTZ138,2021-07-29 08:04:00,KSHR,21.7
MTZ138,2021-07-29 07:59:00,LBHM8,25
MTZ138,2021-07-29 07:53:00,KSHR,22.2
MTZ138,2021-07-29 07:48:00,BRTM8,16.111
MTZ138,2021-07-29 07:29:00,HBOM8,24.444
MTZ138,2021-07-29 07:18:00,PMRM8,20.556
MTZ138,2021-07-29 07:18:00,WWMM8,21.66702
MTZ138,2021-07-29 06:59:00,LBHM8,25
MTZ138,2021-07-29 06:53:00,KSHR,23.3
MTZ138,2021-07-29 06:48:00,BRTM8,17.222
MTZ138,2021-07-29 06:29:00,HBOM8,25
MTZ138,2021-07-29 06:18:00,PMRM8,21.111
MTZ138,2021-07-29 06:18:00,WWMM8,22.222
MTZ138,2021-07-29 05:59:00,LBHM8,25
MTZ138,2021-07-29 05:53:00,KSHR,22.2
MTZ138,2021-07-29 05:48:00,BRTM8,16.111
MTZ138,2021-07-29 05:29:00,HBOM8,25.556
MTZ138,2021-07-29 05:18:00,PMRM8,20.556
MTZ138,2021-07-29 05:18:00,WWMM8,22.778
MTZ138,2021-07-29 04:59:00,LBHM8,26.111
MTZ138,2021-07-29 04:53:00,KSHR,22.8
